,Unnamed: 0,Unnamed: 0.1,time,oil_well,ZIT_1244002,PIT_1244007,PIT_1244008,SDY_1210002
0,0,0,2022-11-21 23:18:07.741307,well injection D,21.03125,,,
1,1,1,2022-11-21 23:18:08.002017,well injection C,8.631250381469727,29150.259765625,29253.310546875,False
2,2,2,2022-11-21 23:18:08.002017,well injection D,,33010.3515625,32963.109375,
3,3,3,2022-11-21 23:18:13.601509,well injection D,21.03125,,,
4,4,4,2022-11-21 23:18:13.994282,well injection C,8.625,29158.849609375,29257.609375,False
5,5,5,2022-11-21 23:18:13.994282,well injection D,,32950.23046875,32898.7109375,
6,6,6,2022-11-21 23:18:19.667765,well injection D,21.03125,,,
7,7,7,2022-11-21 23:18:19.955242,well injection C,8.625,29137.380859375,29240.4296875,False
8,8,8,2022-11-21 23:18:19.955242,well injection D,,32881.53125,32830.01171875,
9,9,9,2022-11-21 23:18:25.639463,well injection D,21.03125,,,
10,10,10,2022-11-21 23:18:25.943466,well injection C,8.625,29154.560546875,29257.609375,False
11,11,11,2022-11-21 23:18:25.943466,well injection D,,32847.1796875,32795.66015625,
12,12,12,2022-11-21 23:18:31.355458,well injection D,21.03125,,,
13,13,13,2022-11-21 23:18:31.564871,well injection C,8.625,29145.970703125,29249.01953125,False
14,14,14,2022-11-21 23:18:31.564871,well injection D,,32799.94921875,32752.720703125,
15,15,15,2022-11-21 23:18:36.904643,well injection D,21.03125,,,
16,16,16,2022-11-21 23:18:37.400862,well injection C,8.625,29158.849609375,29253.310546875,False
17,17,17,2022-11-21 23:18:37.400862,well injection D,,32778.48046875,32726.9609375,
18,18,18,2022-11-21 23:18:42.981530,well injection D,21.03125,,,
19,19,19,2022-11-21 23:18:43.377721,well injection C,8.631250381469727,29145.970703125,29249.01953125,False
20,20,20,2022-11-21 23:18:43.377721,well injection D,,32739.83984375,32688.310546875,
21,21,21,2022-11-21 23:18:48.975726,well injection D,21.03125,,,
22,22,22,2022-11-21 23:18:49.525766,well injection C,8.625,29154.560546875,29257.609375,False
23,23,23,2022-11-21 23:18:49.525766,well injection D,,32726.9609375,32671.140625,
24,24,24,2022-11-21 23:18:55.153667,well injection D,21.03125,,,
25,25,25,2022-11-21 23:18:55.305692,well injection C,8.625,29141.6796875,29244.73046875,False
26,26,26,2022-11-21 23:18:55.305692,well injection D,,32692.609375,32641.080078125,
27,27,27,2022-11-21 23:19:00.866216,well injection D,21.03125,,,
28,28,28,2022-11-21 23:19:00.954793,well injection C,8.625,29150.259765625,29253.310546875,False
29,29,29,2022-11-21 23:19:00.954793,well injection D,,32679.73046875,32628.19921875,
30,30,30,2022-11-21 23:19:06.327613,well injection D,21.03125,,,
31,31,31,2022-11-21 23:19:06.597271,well injection C,8.625,29137.380859375,29236.140625,False
32,32,32,2022-11-21 23:19:06.597271,well injection D,,32658.259765625,32606.73046875,
33,33,33,2022-11-21 23:19:12.163538,well injection D,21.03125,,,
34,34,34,2022-11-21 23:19:12.560692,well injection C,8.631250381469727,29150.259765625,29249.01953125,False
35,35,35,2022-11-21 23:19:12.560692,well injection D,,32653.9609375,32602.439453125,
36,36,36,2022-11-21 23:19:17.997283,well injection D,21.03125,,,
37,37,37,2022-11-21 23:19:18.377627,well injection C,8.631250381469727,29150.259765625,29249.01953125,False
38,38,38,2022-11-21 23:19:18.377627,well injection D,,32649.669921875,32598.150390625,
39,39,39,2022-11-21 23:19:24.119050,well injection D,21.03125,,,
40,40,40,2022-11-21 23:19:24.507356,well injection C,8.631250381469727,29137.380859375,29240.4296875,False
41,41,41,2022-11-21 23:19:24.507356,well injection D,,32632.5,32580.970703125,
42,42,42,2022-11-21 23:19:30.166568,well injection D,21.03125,,,
43,43,43,2022-11-21 23:19:30.323352,well injection C,8.631250381469727,29137.380859375,29236.140625,False
44,44,44,2022-11-21 23:19:30.323352,well injection D,,32632.5,32580.970703125,
45,45,45,2022-11-21 23:19:36.016756,well injection D,21.03125,,,
46,46,46,2022-11-21 23:19:36.457943,well injection C,8.631250381469727,29145.970703125,29249.01953125,False
47,47,47,2022-11-21 23:19:36.457943,well injection D,,32632.5,32580.970703125,
48,48,48,2022-11-21 23:19:41.984940,well injection D,21.03125,,,
49,49,49,2022-11-21 23:19:42.333136,well injection C,8.631250381469727,29158.849609375,29253.310546875,False
50,50,50,2022-11-21 23:19:42.333136,well injection D,,32641.080078125,32585.259765625,
51,51,51,2022-11-21 23:19:47.937191,well injection D,21.03125,,,
52,52,52,2022-11-21 23:19:48.243379,well injection C,8.631250381469727,29128.80078125,29227.55078125,False
53,53,53,2022-11-21 23:19:48.243379,well injection D,,32632.5,32572.380859375,
54,54,54,2022-11-21 23:19:54.226013,well injection D,21.03125,,,
55,55,55,2022-11-21 23:19:54.550834,well injection C,8.631250381469727,29137.380859375,29240.4296875,False
56,56,56,2022-11-21 23:19:54.550834,well injection D,,32636.7890625,32585.259765625,
57,57,57,2022-11-21 23:20:00.239024,well injection D,21.03125,,,
58,58,58,2022-11-21 23:20:00.685896,well injection C,8.631250381469727,29137.380859375,29240.4296875,False
59,59,59,2022-11-21 23:20:00.685896,well injection D,,32641.080078125,32585.259765625,
60,60,60,2022-11-21 23:20:06.265376,well injection D,21.03125,,,
61,61,61,2022-11-21 23:20:06.703008,well injection C,8.625,29150.259765625,29253.310546875,False
62,62,62,2022-11-21 23:20:06.703008,well injection D,,32653.9609375,32598.150390625,
63,63,63,2022-11-21 23:20:12.104897,well injection D,21.03125,,,
64,64,64,2022-11-21 23:20:12.664906,well injection C,8.625,29128.80078125,29227.55078125,False
65,65,65,2022-11-21 23:20:12.664906,well injection D,,32649.669921875,32598.150390625,
66,66,66,2022-11-21 23:20:18.314106,well injection D,21.03125,,,
67,67,67,2022-11-21 23:20:18.647908,well injection C,8.625,29128.80078125,29227.55078125,False
68,68,68,2022-11-21 23:20:18.647908,well injection D,,32658.259765625,32602.439453125,
69,69,69,2022-11-21 23:20:24.151051,well injection D,21.03125,,,
70,70,70,2022-11-21 23:20:24.418266,well injection C,8.625,29128.80078125,29231.849609375,False
71,71,71,2022-11-21 23:20:24.418266,well injection D,,32658.259765625,32606.73046875,
72,72,72,2022-11-21 23:20:30.111958,well injection D,21.03125,,,
73,73,73,2022-11-21 23:20:30.408718,well injection C,8.631250381469727,29145.970703125,29244.73046875,False
74,74,74,2022-11-21 23:20:30.408718,well injection D,,32675.4296875,32623.91015625,
75,75,75,2022-11-21 23:20:36.064259,well injection D,21.03125,,,
76,76,76,2022-11-21 23:20:36.376203,well injection C,8.625,29128.80078125,29227.55078125,False
77,77,77,2022-11-21 23:20:36.376203,well injection D,,32675.4296875,32619.609375,
78,78,78,2022-11-21 23:20:41.885623,well injection D,21.03125,,,
79,79,79,2022-11-21 23:20:42.340579,well injection C,8.631250381469727,29124.5,29227.55078125,False
80,80,80,2022-11-21 23:20:42.340579,well injection D,,32684.01953125,32628.19921875,
81,81,81,2022-11-21 23:20:47.854900,well injection D,21.03125,,,
82,82,82,2022-11-21 23:20:48.154716,well injection C,8.625,29124.5,29231.849609375,False
83,83,83,2022-11-21 23:20:48.154716,well injection D,,32688.310546875,32636.7890625,
84,84,84,2022-11-21 23:20:53.824758,well injection D,21.03125,,,
85,85,85,2022-11-21 23:20:54.120466,well injection C,8.625,29137.380859375,29240.4296875,False
86,86,86,2022-11-21 23:20:54.120466,well injection D,,32701.19921875,32649.669921875,
87,87,87,2022-11-21 23:20:59.767862,well injection D,21.03125,,,
88,88,88,2022-11-21 23:21:00.111556,well injection C,8.625,29137.380859375,29236.140625,False
